lot_address,road_address,mart_name,mart_type,longitude,latitude
서울특별시 중구 신당1동 217번지 91호,서울특별시 중구 청계천로 334 (신당동),청평화시장,그 밖의 대규모점포,127.0120569756928,37.56946507485934
서울특별시 중구 신당동 193번지 2 호,서울특별시 중구 다산로 293 (신당동),디오트,그 밖의 대규모점포,127.01188887623614,37.56913745473148
,"서울특별시 중구 만리재로 175, 401동 9,10,11호 (만리동2가)",지에스수퍼마켓 중구만리점,구분없음,126.96051907506516,37.55421784609654
서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400-0 (황학동),주식회사 이마트 청계천점,대형마트,127.01854373612623,37.57097822274756
서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400 (황학동),베네치아메가몰,그 밖의 대규모점포,127.01854373612623,37.57097822274756
서울특별시 중구 명동2가 31번지 1호,"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",엠플라자(M plaza),쇼핑센터,126.9822717191972,37.56249976149008
서울특별시 중구 을지로6가 17번지 48호,서울특별시 중구  청계천로  274 (을지로6가),평화시장,그 밖의 대규모점포,127.00519514120838,37.56946499109677
서울특별시 중구 명동2가 83번지 5호,서울특별시 중구 명동길 14 (명동2가),눈스퀘어,그 밖의 대규모점포,126.98000051200616,37.56341328305386
서울특별시 중구 남대문로2가 9-1,,센터포인트 명동,쇼핑센터,126.97980733086554,37.56464890117782
서울특별시 중구 을지로7가 105호   ,서울특별시 중구 을지로 276 (을지로7가),라모도 쇼핑몰,그 밖의 대규모점포,127.0055155192732,37.56527159144854
,서울특별시 중구 서소문로6길 34 (중림동),합동시장,그 밖의 대규모점포,126.96436726690096,37.55958752536071
,서울특별시 중구 마른내로 140 (쌍림동),(주)심풍유통,그 밖의 대규모점포,127.00069862585836,37.56445396600452
,서울특별시 중구 남대문로 84 (남대문로2가),케레스타,그 밖의 대규모점포,126.97980733086554,37.56464890117782
