school_name,school_level,lot_address,road_address,latitude,longitude
간디고등학교,고등학교,경상남도 산청군 신안면 외송리 122,경상남도 산청군 신안면 둔철산로 210,35.35849956,127.9445919
은여울중학교,중학교,경기도 김포시 마산동 639-9,경기도 김포시 김포한강8로 173-48,37.63794171,126.6390605
서천여자고등학교,고등학교,충청남도 서천군 서천읍 군사리 356-17,충청남도 서천군 서천읍 군청로 84,36.08139458,126.6938200273
대구포산초등학교,초등학교,대구광역시 달성군 현풍읍 중리 483,대구광역시 달성군 현풍읍 테크노북로 80,35.69481994,128.452641
용봉초등학교,초등학교,충청남도 홍성군 홍북읍 상하리 438-2,충청남도 홍성군 홍북읍 이응노로 277,36.63174613,126.6501145
중흥중학교,중학교,경기도 부천시 원미구 중동 1053-1,경기도 부천시 원미구 신흥로 245,37.50654272,126.7742134
지사중학교,중학교,전북특별자치도 임실군 지사면 금평리 47,전북특별자치도 임실군 지사면 충효로 2469,35.56728894,127.358871
대동중학교,중학교,부산광역시 사하구 구평동 112-24,부산광역시 사하구 을숙도대로709번길 27,35.0873648,128.9842391
대청초등학교,초등학교,경상남도 김해시 대청동 319-3,경상남도 김해시 반룡로 53,35.18899726,128.8033321
대전유평초등학교,초등학교,대전광역시 중구 태평동 343-3,대전광역시 중구 수침로 123,36.3301867,127.3972544
호계초등학교,초등학교,울산광역시 북구 호계동 266,울산광역시 북구 동대13길 20,35.62997804,129.3565489
회천초등학교,초등학교,전라남도 보성군 회천면 율포리 278,전라남도 보성군 회천면 남부관광로 2343,34.67280083,127.0850726
연암초등학교,초등학교,울산광역시 북구 연암동 354,울산광역시 북구 두부곡4길 35,35.58630376,129.3692758
진보초등학교,초등학교,경상북도 청송군 진보면 진안리 54-74,경상북도 청송군 진보면 진보로 149,36.52942494,129.0484952
계당초등학교,초등학교,경상북도 경산시 와촌면 계당리 1468,경상북도 경산시 와촌면 계당길 27,35.9284247,128.8513378
박문여자고등학교,고등학교,인천광역시 연수구 송도동 162-3,인천광역시 연수구 송도과학로51번길 16,37.38275068,126.6662372
성진초등학교,초등학교,광주광역시 서구 화정동 904-1,광주광역시 서구 학생독립로 16,35.14376463,126.8662598
성일고등학교,고등학교,전북특별자치도 익산시 황등면 황등리 626-1,전북특별자치도 익산시 황등면 화강암로 229,36.00845511,126.9466218
호남제일고등학교,고등학교,전북특별자치도 전주시 완산구 효자동3가 1233,전북특별자치도 전주시 완산구 서원로 53,35.81390641,127.0992322
공근중학교,중학교,강원특별자치도 횡성군 공근면 학담리 23-5,강원특별자치도 횡성군 공근면 학담4길 21,37.54023303,127.963107
이리백제초등학교,초등학교,전북특별자치도 익산시 영등동 813,전북특별자치도 익산시 궁동로 29,35.9623371,126.9739481
성지초등학교,초등학교,부산광역시 부산진구 범전동 229-1,부산광역시 부산진구 시민공원로 62,35.16425951,129.0568706
정배초등학교,초등학교,경기도 양평군 서종면 정배리 330,경기도 양평군 서종면 명덕길 10,37.60302821,127.4232905
